"","dates","areas","time"
"1",1984.2650273224,10.3815,-35.7349726775956
"2",1984.37704918033,10.1061,-35.622950819672
"3",1984.39617486339,9.2007,-35.6038251366119
"4",1984.48360655738,6.9516,-35.516393442623
"5",1986.19726027397,10.4841,-33.8027397260273
"6",1986.47945205479,7.0434,-33.5205479452054
"7",1986.54794520548,5.7339,-33.4520547945206
"8",1986.56712328767,5.3658,-33.4328767123288
"9",1987.53150684932,7.8993,-32.4684931506849
"10",1987.77534246575,7.2459,-32.2246575342465
"11",1988.43169398907,9.5616,-31.5683060109291
"12",1988.51366120219,5.9859,-31.4863387978141
"13",1988.53825136612,3.6063,-31.4617486338798
"14",1988.60655737705,3.78,-31.3934426229507
"15",1989.52054794521,7.7112,-30.4794520547946
"16",1990.44109589041,8.9775,-29.5589041095891
"17",1990.53424657534,6.8823,-29.4657534246576
"18",1991.58082191781,5.3289,-28.4191780821918
"19",1991.58630136986,5.3217,-28.4136986301369
"20",1991.64931506849,4.3074,-28.3506849315067
"21",1992.41803278689,9.9216,-27.5819672131147
"22",1993.55068493151,6.4584,-26.4493150684932
"23",1993.6,5.5971,-26.4000000000001
"24",1993.75068493151,7.5096,-26.2493150684932
"25",1994.3397260274,10.224,-25.6602739726027
"26",1994.45753424658,10.1727,-25.5424657534247
"27",1994.60821917808,4.86,-25.3917808219178
"28",1994.62739726027,4.6098,-25.3726027397261
"29",1995.34794520548,10.3365,-24.6520547945206
"30",1995.46575342466,0,-24.5342465753424
"31",1995.57260273973,5.9427,-24.4273972602739
"32",1996.59836065574,4.5459,-23.4016393442623
"33",1997.44931506849,9.0153,-22.5506849315068
"34",1998.65753424658,4.4298,-21.3424657534247
"35",1999.71232876712,4.1949,-20.2876712328766
"36",1999.73150684932,3.7998,-20.2684931506849
"37",2000.56284153005,5.823,-19.4371584699454
"38",2000.58743169399,4.4433,-19.4125683060108
"39",2000.73770491803,6.3207,-19.2622950819673
"40",2001.48219178082,8.1324,-18.5178082191781
"41",2002.29589041096,10.1835,-17.7041095890411
"42",2002.40273972603,9.6237,-17.5972602739726
"43",2002.42191780822,8.3196,-17.5780821917808
"44",2002.53424657534,5.265,-17.4657534246576
"45",2002.55342465753,4.6755,-17.4465753424658
"46",2002.57808219178,4.2399,-17.4219178082192
"47",2002.60273972603,3.7638,-17.3972602739725
"48",2002.64109589041,2.2959,-17.358904109589
"49",2002.64657534247,2.8728,-17.3534246575343
"50",2002.6904109589,4.1418,-17.3095890410959
"51",2003.17260273973,7.3854,-16.827397260274
"52",2003.39178082192,9.9594,-16.6082191780822
"53",2003.56164383562,2.1636,-16.4383561643835
"54",2003.60547945205,2.3445,-16.3945205479451
"55",2003.74246575342,4.3011,-16.2575342465752
"56",2004.34972677596,6.4836,-15.6502732240438
"57",2004.43989071038,10.2303,-15.5601092896175
"58",2004.50819672131,7.1208,-15.4918032786886
"59",2004.5737704918,3.8835,-15.4262295081967
"60",2004.74863387978,6.3234,-15.2513661202186
"61",2005.38356164384,10.377,-14.6164383561643
"62",2005.44657534247,10.4661,-14.5534246575342
"63",2005.4904109589,8.3196,-14.509589041096
"64",2005.49315068493,6.3801,-14.5068493150684
"65",2005.5095890411,6.7806,-14.490410958904
"66",2006.34246575342,9.8712,-13.6575342465753
"67",2006.34520547945,8.9523,-13.654794520548
"68",2006.56712328767,4.7016,-13.4328767123288
"69",2006.58356164384,2.7252,-13.4164383561645
"70",2006.60547945205,3.8862,-13.3945205479451
"71",2006.6301369863,3.5028,-13.3698630136987
"72",2006.63287671233,2.8458,-13.3671232876711
"73",2006.65205479452,2.7414,-13.3479452054794
"74",2006.75890410959,4.7511,-13.2410958904109
"75",2007.41643835616,6.7446,-12.5835616438355
"76",2007.41917808219,10.3824,-12.5808219178082
"77",2007.42191780822,8.3493,-12.5780821917808
"78",2007.50410958904,4.8285,-12.495890410959
"79",2007.74520547945,0.207,-12.2547945205479
"80",2007.75068493151,7.3206,-12.2493150684932
"81",2008.42349726776,6.5979,-11.5765027322404
"82",2008.51639344262,6.2388,-11.483606557377
"83",2008.6912568306,5.9274,-11.3087431693989
"84",2009.47397260274,5.2983,-10.5260273972603
"85",2009.50136986301,6.3801,-10.4986301369863
"86",2009.54520547945,6.2586,-10.4547945205479
"87",2010.68493150685,4.7691,-9.31506849315065
"88",2010.75342465753,4.5711,-9.2465753424658
"89",2011.36164383562,9.8271,-8.63835616438359
"90",2011.42739726027,9.4671,-8.57260273972611
"91",2011.44931506849,7.7085,-8.55068493150679
"92",2011.45205479452,6.2154,-8.54794520547944
"93",2011.58356164384,2.0916,-8.41643835616446
"94",2011.71506849315,4.0248,-8.28493150684926
"95",2012.39071038251,9.414,-7.60928961748641
"96",2012.5218579235,7.9839,-7.47814207650276
"97",2012.59016393443,5.3847,-7.4098360655737
"98",2012.63387978142,4.5063,-7.36612021857923
"99",2013.4,9.3573,-6.59999999999991
"100",2013.55342465753,4.5819,-6.44657534246585
"101",2013.5698630137,4.3281,-6.43013698630148
"102",2013.66301369863,3.6603,-6.33698630136996
"103",2013.68493150685,2.8305,-6.31506849315065
"104",2013.83287671233,10.4625,-6.1671232876713
"105",2014.20821917808,8.2125,-5.79178082191788
"106",2014.22739726027,8.6031,-5.77260273972593
"107",2014.23287671233,10.4373,-5.76712328767121
"108",2014.27123287671,9.5247,-5.72876712328775
"109",2014.40273972603,8.8263,-5.59726027397255
"110",2014.40821917808,8.622,-5.59178082191784
"111",2014.4904109589,8.6949,-5.50958904109598
"112",2014.49589041096,8.0856,-5.50410958904104
"113",2014.51506849315,5.8905,-5.48493150684931
"114",2014.53150684932,1.5579,-5.46849315068494
"115",2014.56164383562,3.1869,-5.43835616438355
"116",2014.60273972603,3.9384,-5.39726027397251
"117",2014.64657534247,3.9249,-5.35342465753433
"118",2014.77808219178,6.3828,-5.22191780821913
"119",2015.17260273973,7.1523,-4.82739726027398
"120",2015.52602739726,7.173,-4.47397260273965
"121",2015.54246575342,7.8804,-4.45753424657528
"122",2015.58904109589,5.6502,-4.41095890410952
"123",2015.61095890411,5.8554,-4.38904109589043
"124",2015.6301369863,5.0787,-4.3698630136987
"125",2015.63287671233,4.7637,-4.36712328767112
"126",2015.63561643836,5.0994,-4.36438356164376
"127",2015.69589041096,2.7927,-4.30410958904099
"128",2015.76164383562,7.029,-4.2383561643835
"129",2016.09289617486,0.4122,-3.90710382513657
"130",2016.24863387978,9.0396,-3.75136612021856
"131",2016.29234972678,9.6966,-3.70765027322409
"132",2016.3306010929,10.3392,-3.66939890710387
"133",2016.39890710383,10.1799,-3.6010928961748
"134",2016.40163934426,8.2782,-3.59836065573768
"135",2016.41803278689,10.1457,-3.58196721311469
"136",2016.44262295082,10.2483,-3.55737704918033
"137",2016.48360655738,6.3171,-3.51639344262298
"138",2016.53005464481,6.0183,-3.46994535519116
"139",2016.54918032787,5.7375,-3.45081967213105
"140",2016.55191256831,5.1246,-3.44808743169392
"141",2016.70491803279,3.7575,-3.29508196721304
"142",2016.70765027322,3.0312,-3.29234972677591
"143",2016.72404371585,3.033,-3.27595628415293
"144",2016.72677595628,2.8863,-3.2732240437158
"145",2016.72950819672,2.8485,-3.27049180327867
"146",2017.09863013699,6.3963,-2.90136986301377
"147",2017.16712328767,7.0398,-2.8328767123287
"148",2017.31780821918,10.4814,-2.682191780822
"149",2017.42465753425,10.4976,-2.57534246575347
"150",2017.44657534247,5.9346,-2.55342465753415
"151",2017.44931506849,8.4915,-2.55068493150679
"152",2017.56164383562,6.2793,-2.43835616438355
"153",2017.73150684932,6.1749,-2.26849315068489
"154",2017.73424657534,5.202,-2.26575342465753
"155",2017.73698630137,5.5638,-2.26301369863017
"156",2017.78082191781,6.0534,-2.21917808219177
"157",2018.19452054795,7.9974,-1.8054794520549
"158",2018.28219178082,9.4689,-1.7178082191781
"159",2018.35342465753,5.8239,-1.64657534246567
"160",2018.39452054795,9.1629,-1.60547945205485
"161",2018.41095890411,5.8716,-1.58904109589048
"162",2018.45753424658,9.2457,-1.54246575342472
"163",2018.49863013699,5.5908,-1.50136986301368
"164",2018.51780821918,3.5577,-1.48219178082195
"165",2018.52054794521,6.8211,-1.47945205479459
"166",2018.54246575342,2.8611,-1.45753424657528
"167",2018.5698630137,3.8151,-1.43013698630148
"168",2018.57260273973,2.1069,-1.42739726027389
"169",2018.85205479452,3.3534,-1.14794520547935
"170",2019.2904109589,9.7587,-0.709589041095796
"171",2019.29315068493,8.3169,-0.706849315068439
"172",2019.31506849315,9.8658,-0.684931506849352
"173",2019.37534246575,6.2541,-0.62465753424658
"174",2019.37808219178,10.0116,-0.621917808219223
"175",2019.44657534247,8.1009,-0.553424657534151
"176",2019.44931506849,4.932,-0.550684931506794
"177",2019.54520547945,0.0234,-0.454794520547921
"178",2019.57260273973,4.9437,-0.427397260273892
"179",2019.57534246575,4.4406,-0.424657534246535
"180",2019.57808219178,5.0976,-0.421917808219177
"181",2019.72876712329,7.9668,-0.271232876712247
"182",2019.77260273973,10.4805,-0.227397260274074
"183",2019.79178082192,5.9634,-0.208219178082118
